Artificial Intelligence and Machine Learning
_____Writing content of file name f1.txt_____
frequeny of character A is ==4
frequeny of character B is ==0
frequeny of character C is ==0
frequeny of character D is ==1
frequeny of character E is ==3
frequeny of character F is ==1
frequeny of character G is ==0
frequeny of character H is ==1
frequeny of character I is ==2
frequeny of character J is ==0
frequeny of character K is ==0
frequeny of character L is ==2
frequeny of character M is ==0
frequeny of character N is ==1
frequeny of character O is ==1
frequeny of character P is ==0
frequeny of character Q is ==0
frequeny of character R is ==1
frequeny of character S is ==3
frequeny of character T is ==4
frequeny of character U is ==1
frequeny of character V is ==1
frequeny of character W is ==0
frequeny of character X is ==1
frequeny of character Y is ==1
frequeny of character Z is ==0
